text,thisN,thisTrialN,thisRepN,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,go_image,stop_image,corr_resp,is_stop,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Trial_loop.thisRepN,Trial_loop.thisTrialN,Trial_loop.thisN,Trial_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,exp_trial_1.thisRepN,exp_trial_1.thisTrialN,exp_trial_1.thisN,exp_trial_1.thisIndex,exp_trials_2.thisRepN,exp_trials_2.thisTrialN,exp_trials_2.thisN,exp_trials_2.thisIndex,exp_trials_3.thisRepN,exp_trials_3.thisTrialN,exp_trials_3.thisN,exp_trials_3.thisIndex,exp_trials_4.thisRepN,exp_trials_4.thisTrialN,exp_trials_4.thisN,exp_trials_4.thisIndex,thisRow.t,notes,Welcome.started,Welcome_text.started,Welcome_text.stopped,Welcome.stopped,Instruction.started,Inst_text.started,key_resp_inst.started,Instruction.stopped,Trial_loop.key_resp_inst.keys,Trial_loop.key_resp_inst.rt,Trial_loop.key_resp_inst.duration,fixation.started,image.started,fixation.stopped,Stimulus.started,go_arrow.started,key_resp.started,stop_arrow.started,Stimulus.stopped,practice_trial_loop.key_resp.keys,practice_trial_loop.key_resp.corr,practice_trial_loop.key_resp.rt,practice_trial_loop.key_resp.duration,go_rt,stop_success,SSD,Feedback.started,fdback_text.started,fdback_text.stopped,Feedback.stopped,image.stopped,go_arrow.stopped,key_resp.stopped,stop_arrow.stopped,block_feedback.started,fb_text.started,key_resp_4.started,block_feedback.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,exp_trial_1.key_resp.keys,exp_trial_1.key_resp.corr,exp_trial_1.key_resp.rt,exp_trial_1.key_resp.duration,exp_trials_2.key_resp.keys,exp_trials_2.key_resp.corr,exp_trials_2.key_resp.rt,exp_trials_2.key_resp.duration,exp_trials_3.key_resp.keys,exp_trials_3.key_resp.corr,exp_trials_3.key_resp.rt,exp_trials_3.key_resp.duration,exp_trials_4.key_resp.keys,exp_trials_4.key_resp.corr,exp_trials_4.key_resp.rt,exp_trials_4.key_resp.duration,Thank_you.started,thankyou_text.started,Thank_you.stopped,participant,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028613,0.0081849,3.0453071,2.998796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
"Your main task is to respond to white arrows (with a black border) that appear on the screen.

Press the LEFT ARROW KEY with the right index finger when you see a LEFT ARROW and press the RIGHT ARROW KEY with the right ring finger when you see a RIGHT ARROW.

Thus, left arrow = left key and right arrow = right key. 
Press SPACEBAR"" to continue""",0,0,0,space,1.0655047,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3.0453071,,,,,,3.0402388,3.0453071,3.0453071,4.3900616,space,1.0655047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
"However, on some trials (stop-signal trials) the arrows will turn red after a variable delay. You have to stop your response when this happens.

On approximately half of the stop-signal trials, the red stop signal will appear soon and you will notice that it will be easy to stop your response.

On the other half of the trials, the red stop signals will appear late and it will become very difficult or even impossible to stop your response.

Press SPACEBAR"" to continue""",1,1,0,space,0.9562198,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,4.417567,,,,,,4.4131794,4.417567,4.417567,5.3822724,space,0.9562198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
"Nevertheless, it is really important that you do not wait for the stop signal to occur and that you respond as quickly and as accurately as possible to the white arrows.

After all, if you start waiting for the red stop signals, then the program will delay their presentation. This will result in long reaction times.

We will start with a short practice block in which you will receive immediate feedback. You will no longer receive immediate feedback in the experimental phase.

Press SPACEBAR"" to continue""",2,2,0,space,0.7215362,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,5.4143889,,,,,,5.4096557,5.4143889,5.4143889,6.1489316,space,0.7215362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
"However, at the end of each experimental block, there will be a 15 second break. During this break, we will show you some information about your mean performance in the previous block.

The experiment consists of 1 practice block and 4 experimental blocks

Press SPACEBAR"" to begin the experiment""",3,3,0,space,1.0499185,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,6.1727132,,,,,,6.1686525,6.1727132,6.1727132,7.2321139,space,1.0499185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,0,0,0,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.5438014,None,,,,,0,0,0,7,,,,,,,,,,,,,,,,,7.334708,,,,,,,,,,,,,7.2674532,7.334708,7.4977656,7.5137004,7.5207006,7.5207006,7.6843105,8.0681486,right,0,0.5438014,None,None,0,0.15,8.0734378,8.0805452,8.8308431,8.8143875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,1,1,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3108,None,,,,,0,1,1,4,,,,,,,,,,,,,,,,,8.8308431,,,,,,,,,,,,,8.8145622,8.8308431,9.0647012,9.1057458,9.1111224,9.1111224,9.2326072,9.4332114,right,1,0.3108,None,0.3108,None,0.15,9.434926,9.4468729,10.1971821,10.1808122,9.1111224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,2,2,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3575738,None,,,,,0,2,2,5,,,,,,,,,,,,,,,,,10.1971821,,,,,,,,,,,,,10.1809939,10.1971821,10.4312379,10.4470717,10.4523237,10.4523237,10.5990524,10.8164526,right,1,0.3575738,None,0.3575738,None,0.15,10.8165154,10.8302551,11.5804948,11.564087,10.4523237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,3,3,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3565505,None,,,,,0,3,3,0,,,,,,,,,,,,,,,,,11.5804948,,,,,,,,,,,,,11.5642563,11.5804948,11.8144756,11.8501483,11.855451,11.855451,11.9822724,12.2161692,left,1,0.3565505,None,0.3565505,None,0.15,12.2162323,12.2300215,12.9803594,12.9638855,11.855451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,4,4,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.367886,None,,,,,0,4,4,1,,,,,,,,,,,,,,,,,12.9803594,,,,,,,,,,,,,12.9640038,12.9803594,13.2142002,13.2293119,13.2345179,13.2345179,13.3821336,13.6161084,left,1,0.367886,None,0.367886,None,0.15,13.616186,13.6298901,14.3801671,14.3636974,13.2345179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
