text,thisN,thisTrialN,thisRepN,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,go_image,stop_image,corr_resp,is_stop,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Trial_loop.thisRepN,Trial_loop.thisTrialN,Trial_loop.thisN,Trial_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,exp_trial_1.thisRepN,exp_trial_1.thisTrialN,exp_trial_1.thisN,exp_trial_1.thisIndex,exp_trials_2.thisRepN,exp_trials_2.thisTrialN,exp_trials_2.thisN,exp_trials_2.thisIndex,exp_trials_3.thisRepN,exp_trials_3.thisTrialN,exp_trials_3.thisN,exp_trials_3.thisIndex,exp_trials_4.thisRepN,exp_trials_4.thisTrialN,exp_trials_4.thisN,exp_trials_4.thisIndex,thisRow.t,notes,Welcome.started,Welcome_text.started,Welcome.stopped,Instruction.started,Inst_text.started,key_resp_inst.started,Instruction.stopped,Trial_loop.key_resp_inst.keys,Trial_loop.key_resp_inst.rt,Trial_loop.key_resp_inst.duration,fixation.started,image.started,fixation.stopped,Stimulus.started,go_arrow.started,key_resp.started,stop_arrow.started,Stimulus.stopped,practice_trial_loop.key_resp.keys,practice_trial_loop.key_resp.corr,practice_trial_loop.key_resp.rt,practice_trial_loop.key_resp.duration,go_rt,stop_success,SSD,Feedback.started,fdback_text.started,fdback_text.stopped,Feedback.stopped,image.stopped,go_arrow.stopped,key_resp.stopped,stop_arrow.stopped,block_feedback.started,fb_text.started,key_resp_4.started,block_feedback.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,exp_trial_1.key_resp.keys,exp_trial_1.key_resp.corr,exp_trial_1.key_resp.rt,exp_trial_1.key_resp.duration,exp_trials_2.key_resp.keys,exp_trials_2.key_resp.corr,exp_trials_2.key_resp.rt,exp_trials_2.key_resp.duration,exp_trials_3.key_resp.keys,exp_trials_3.key_resp.corr,exp_trials_3.key_resp.rt,exp_trials_3.key_resp.duration,exp_trials_4.key_resp.keys,exp_trials_4.key_resp.corr,exp_trials_4.key_resp.rt,exp_trials_4.key_resp.duration,Thank_you.started,thankyou_text.started,Thank_you.stopped,participant,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002889,0.0065295,3.0015846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
"Your main task is to respond to white arrows (with a black border) that appear on the screen.

Press the LEFT ARROW KEY with the right index finger when you see a LEFT ARROW and press the RIGHT ARROW KEY with the right ring finger when you see a RIGHT ARROW.

Thus, left arrow = left key and right arrow = right key. 
Press SPACEBAR"" to continue""",0,0,0,space,1.3284464,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3.0353653,,,,,3.0303293,3.0353653,3.0353653,4.4358964,space,1.3284464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
"However, on some trials (stop-signal trials) the arrows will turn red after a variable delay. You have to stop your response when this happens.

On approximately half of the stop-signal trials, the red stop signal will appear soon and you will notice that it will be easy to stop your response.

On the other half of the trials, the red stop signals will appear late and it will become very difficult or even impossible to stop your response.

Press SPACEBAR"" to continue""",1,1,0,space,0.9844013,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,4.4614762,,,,,4.4568524,4.4614762,4.4614762,5.4524766,space,0.9844013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
"Nevertheless, it is really important that you do not wait for the stop signal to occur and that you respond as quickly and as accurately as possible to the white arrows.

After all, if you start waiting for the red stop signals, then the program will delay their presentation. This will result in long reaction times.

We will start with a short practice block in which you will receive immediate feedback. You will no longer receive immediate feedback in the experimental phase.

Press SPACEBAR"" to continue""",2,2,0,space,1.6628636,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,5.479157,,,,,5.4745997,5.479157,5.479157,7.1522952,space,1.6628636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
"However, at the end of each experimental block, there will be a 15 second break. During this break, we will show you some information about your mean performance in the previous block.

The experiment consists of 1 practice block and 4 experimental blocks

Press SPACEBAR"" to begin the experiment""",3,3,0,space,0.6821952,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,7.171653,,,,,7.1675592,7.171653,7.171653,7.8685216,space,0.6821952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,0,0,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3822182,None,,,,,0,0,0,5,,,,,,,,,,,,,,,,,7.9202811,,,,,,,,,,,,7.873235,7.9202811,8.1345909,8.1509115,8.1574607,8.1574607,8.3198595,8.5541873,right,1,0.3822182,None,0.3822182,None,0.2,8.5563336,8.5674468,9.3176619,9.301168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,1,1,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.383971,None,,,,,0,1,1,4,,,,,,,,,,,,,,,,,9.3176619,,,,,,,,,,,,9.3012994,9.3176619,9.5514965,9.5639142,9.5694066,9.5694066,9.7693454,9.9700016,right,1,0.383971,None,0.383971,None,0.2,9.9700664,9.9838442,10.7340615,10.7176125,9.5694066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,2,2,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.379951,None,,,,,0,2,2,6,,,,,,,,,,,,,,,,,10.7340615,,,,,,,,,,,,10.7177338,10.7340615,10.9680094,10.98063,10.9861232,10.9861232,11.1858364,11.3700456,right,1,0.379951,None,0.379951,None,0.2,11.3701192,11.3836966,12.1339277,12.1174414,10.9861232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,3,3,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3982424,None,,,,,0,3,3,2,,,,,,,,,,,,,,,,,12.1339277,,,,,,,,,,,,12.1175551,12.1339277,12.3678342,12.3800073,12.3856329,12.3856329,12.5858341,12.7864335,left,1,0.3982424,None,0.3982424,None,0.2,12.786528,12.8001677,13.5505497,13.5339142,12.3856329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,4,4,0,,,,images/go_right.png,images/stop_right.png,None,1,None,1,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,13.5505497,,,,,,,,,,,,13.5340377,13.5505497,13.7841931,13.7969174,13.8020405,13.8020405,14.0032294,15.2518652,None,1,,,None,1,0.25,15.2519825,15.2664631,16.0167698,16.0002394,13.8020405,15.0514919,15.0514919,15.2664631,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,5,5,0,,,,images/go_left.png,images/stop_left.png,None,1,left,0,0.3673761,None,,,,,0,5,5,3,,,,,,,,,,,,,,,,,16.0167698,,,,,,,,,,,,16.0003684,16.0167698,16.2505391,16.2632309,16.2685198,16.2685198,16.5030184,16.6372155,left,0,0.3673761,None,None,0,0.2,16.640759,16.6495989,17.399741,17.3833674,16.2685198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,6,6,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3414652,None,,,,,0,6,6,0,,,,,,,,,,,,,,,,,17.399741,,,,,,,,,,,,17.3834861,17.399741,17.6337187,17.6458743,17.6515757,17.6515757,17.8517121,18.0022938,left,1,0.3414652,None,0.3414652,None,0.2,18.0040905,18.0161372,18.7664855,18.7497587,17.6515757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,7,7,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3838842,None,,,,,0,7,7,1,,,,,,,,,,,,,,,,,18.7664855,,,,,,,,,,,,18.7498789,18.7664855,19.0003971,19.0126163,19.0181974,19.0181974,19.2184099,19.4190156,left,1,0.3838842,None,0.3838842,None,0.2,19.4190895,19.4326601,20.1828995,20.1664357,19.0181974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,8,0,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4097383,None,,,,,1,0,8,6,,,,,,,,,,,,,,,,,20.1828995,,,,,,,,,,,,20.1665502,20.1828995,20.4167893,20.4287824,20.4345974,20.4345974,20.6348408,20.8521611,right,1,0.4097383,None,0.4097383,None,0.2,20.8522258,20.8658478,21.6161163,21.5995419,20.4345974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,9,1,1,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3932209,None,,,,,1,1,9,7,,,,,,,,,,,,,,,,,21.6161163,,,,,,,,,,,,21.5996783,21.6161163,21.8499692,21.8624763,21.8678208,21.8678208,22.0689282,22.2697484,right,0,0.3932209,None,None,0,0.15,22.2719353,22.2823721,23.032581,23.0161811,21.8678208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,10,2,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3550209,None,,,,,1,2,10,1,,,,,,,,,,,,,,,,,23.032581,,,,,,,,,,,,23.0163068,23.032581,23.2664086,23.2785432,23.2843499,23.2843499,23.4344162,23.65155,left,1,0.3550209,None,0.3550209,None,0.15,23.653405,23.6654292,24.4156952,24.398977,23.2843499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,11,3,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.5293619,None,,,,,1,3,11,4,,,,,,,,,,,,,,,,,24.4156952,,,,,,,,,,,,24.3990985,24.4156952,24.6494867,24.6617329,24.6674047,24.6674047,24.8175165,25.2015226,right,1,0.5293619,None,0.5293619,None,0.15,25.2015853,25.2152535,25.9654808,25.9488302,24.6674047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,12,4,1,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,1,4,12,3,,,,,,,,,,,,,,,,,25.9654808,,,,,,,,,,,,25.9489491,25.9654808,26.1992296,26.2123987,26.2179165,26.2179165,26.3684239,27.6171471,None,1,,,None,1,0.2,27.6172871,27.6315717,28.3819615,28.3654346,26.2179165,27.4665121,27.4665121,27.6315717,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,13,5,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3755415,None,,,,,1,5,13,5,,,,,,,,,,,,,,,,,28.3819615,,,,,,,,,,,,28.3655473,28.3819615,28.6156688,28.6276327,28.6336703,28.6336703,28.8169647,29.0176396,right,1,0.3755415,None,0.3755415,None,0.2,29.0177075,29.0313589,29.7817081,29.7654661,28.6336703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
